aticker,coname,fmonth,fyear,che,ibd,teq,sale,oiadp,ni,dp,amort,avg_annual_mktcap,ticker
A005930,삼성전자,12.0,2023,69080893000000.0,12685944000000.0,363677865000000.0,258935494000000.0,6566976000000.0,15487100000000.0,35532411000000.0,3134148000000.0,402704474000000.0,5930
A000660,SK하이닉스,12.0,2023,7587329000000.0,32498506000000.0,53503752000000.0,32765719000000.0,-7730313000000.0,-9137547000000.0,13121135000000.0,552541000000.0,78820667000000.0,660
A373220,LG에너지솔루션,12.0,2023,5068783000000.0,10932289000000.0,24373509000000.0,33745470000000.0,1486360000000.0,1637985000000.0,2150207000000.0,136672000000.0,121111714000000.0,373220
A207940,삼성바이오로직스,12.0,2023,367937365000.0,1909532644230.0,9830492412340.0,3694588767060.0,1113680009720.0,857691298380.0,262839243390.0,226942751260.0,54229068000000.0,207940
A005380,현대차,12.0,2023,19166619000000.0,125806361000000.0,101809440000000.0,162663579000000.0,15126901000000.0,12272301000000.0,3283730000000.0,1662765000000.0,39693649000000.0,5380
A000270,기아,12.0,2023,14353142000000.0,4127631000000.0,46558235000000.0,99808420000000.0,11607873000000.0,8777817000000.0,1845939000000.0,507496000000.0,32608754000000.0,270
A105560,KB금융,12.0,2023,2257033000000.0,138760229000000.0,58873310000000.0,29145079000000.0,6435319000000.0,4563431000000.0,865927000000.0,0.0,20901770000000.0,105560
A068270,셀트리온,12.0,2023,564611720000.0,1890420203000.0,17125794307230.0,2176431531380.0,651481422150.0,539706505110.0,63777508000.0,182049824000.0,23182941000000.0,68270
A035420,NAVER,12.0,2023,3576456533000.0,4178883507610.0,24237998815550.0,9670643576580.0,1488820269610.0,985017762490.0,528012308000.0,54327054000.0,33516346000000.0,35420
A055550,신한지주,12.0,2023,2173550000000.0,138717909000000.0,56321865000000.0,27579211000000.0,6100850000000.0,4478000000000.0,1185006000000.0,0.0,18656300000000.0,55550
A005490,POSCO홀딩스,12.0,2023,6670878744000.0,26894699568000.0,59663897393460.0,77127197108580.0,3531422506430.0,1845849532200.0,3346460153070.0,498192527540.0,36275362000000.0,5490
A012330,현대모비스,12.0,2023,5079414000000.0,2750614000000.0,40655299000000.0,59254361000000.0,2295284000000.0,3423309000000.0,852281000000.0,73766000000.0,21129582000000.0,12330
A028260,삼성물산,12.0,2023,3119516303000.0,5160977246730.0,39897109481720.0,41895681215730.0,2870173816850.0,2719106116700.0,820917050170.0,0.0,20587681000000.0,28260
A032830,삼성생명,12.0,2023,7377872000000.0,23922845000000.0,44337441000000.0,9940661000000.0,2398377000000.0,2033709000000.0,195992000000.0,80867000000.0,13671592000000.0,32830
A329180,HD현대중공업,12.0,2023,928043107000.0,3168060053000.0,5207440310000.0,11963925991000.0,178639965000.0,24689214000.0,268003000000.0,10067000000.0,10429718000000.0,329180
A051910,LG화학,12.0,2023,9084899000000.0,21928114000000.0,40938185000000.0,55249785000000.0,1852322000000.0,2053425000000.0,3558790000000.0,398713000000.0,44131163000000.0,51910
A138040,메리츠금융지주,12.0,2023,1992067000000.0,32968126345950.0,10097185065930.0,3903883953850.0,2933502360670.0,2125376583430.0,71646159800.0,15138609410.0,9175252000000.0,138040
A010130,고려아연,12.0,2023,676775223000.0,972051195090.0,9642002868870.0,9704521343020.0,659935424600.0,533378688120.0,311544857000.0,7422942000.0,10293744000000.0,10130
A006400,삼성SDI,12.0,2023,1524461361000.0,5798852571000.0,19907249977520.0,22708300498630.0,1633368964770.0,2066046562200.0,1659657716000.0,68314060000.0,42940923000000.0,6400
A000810,삼성화재,12.0,2023,1741176013300.0,0.0,16144398281430.0,16670111098530.0,2357283417480.0,1821614343040.0,157157000000.0,75352000000.0,11058331000000.0,810
A086790,하나금융지주,12.0,2023,1742901000000.0,102862134000000.0,40181717000000.0,23275944000000.0,4693407000000.0,3468356000000.0,1219747000000.0,0.0,12432765000000.0,86790
A096770,SK이노베이션,12.0,2023,13074425609000.0,30535073845000.0,30019967513000.0,77288485864000.0,1286847853000.0,554894277000.0,1821317000000.0,208647000000.0,15777177000000.0,96770
A012450,한화에어로스페이스,12.0,2023,1806358649000.0,4185049279510.0,4684225317900.0,9359005981300.0,691114682410.0,976918345790.0,260812297000.0,78285374000.0,5493438000000.0,12450
A011200,HMM,12.0,2023,3249802000000.0,3027063000000.0,21440813000000.0,8400969000000.0,584770000000.0,968692000000.0,872876000000.0,0.0,9542740000000.0,11200
A035720,카카오,12.0,2023,5268778560000.0,4490553435870.0,13858599224120.0,7557001757270.0,460857845680.0,-1816669011010.0,489230698000.0,271424323000.0,23850571000000.0,35720
A196170,알테오젠,12.0,2023,30199529000.0,83769127850.0,147841734330.0,96522928880.0,-9736838480.0,-3582208680.0,3169276610.0,164253980.0,2601845000000.0,196170
A066570,LG전자,12.0,2023,8487563000000.0,14513834000000.0,23498536000000.0,84227765000000.0,3549074000000.0,1150611000000.0,2703755000000.0,514523000000.0,17745702000000.0,66570
A015760,한국전력,12.0,2023,4342887000000.0,137439710000000.0,37264750000000.0,88219461000000.0,-4541648000000.0,-4716144000000.0,12869089000000.0,163174000000.0,11954367000000.0,15760
A033780,KT&G,12.0,2023,1031953000000.0,623209000000.0,9294935000000.0,5862608000000.0,1167336000000.0,922361000000.0,210840000000.0,30233000000.0,11873376000000.0,33780
A259960,크래프톤,12.0,2023,721048786000.0,203761520000.0,5558820261030.0,1910576180280.0,768045608970.0,594060314350.0,77219368000.0,30796591000.0,8767974000000.0,259960
A009540,HD한국조선해양,12.0,2023,3018390965000.0,4013955466000.0,12370102932000.0,21296205574000.0,282260719000.0,144930284000.0,459316000000.0,12628000000.0,7019538000000.0,9540
A034020,두산에너빌리티,12.0,2023,2620186985000.0,5221744672800.0,10841508936520.0,17589887709510.0,1467318338130.0,517521903040.0,322526000000.0,144139000000.0,10503976000000.0,34020
A003670,포스코퓨처엠,12.0,2023,389579199000.0,2994385661100.0,2611465990080.0,4759871486260.0,35882186000.0,4435219950.0,128808345000.0,8776990000.0,25600741000000.0,3670
A247540,에코프로비엠,12.0,2023,512656570000.0,1825259245030.0,1599392286410.0,6900867843530.0,156029935390.0,54685871620.0,88505347000.0,4179726000.0,24163678000000.0,247540
A267260,HD현대일렉트릭,12.0,2023,176097890000.0,742666414680.0,1057030326170.0,2702799337370.0,315218290720.0,259455508260.0,44411000000.0,7963000000.0,2143083000000.0,267260
